"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-12-01","2023","12","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-12-01","2023","12","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-12-02","2023","12","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-12-01","2023","12","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-12-01","2023","12","18.1759003143","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-12-02","2023","12","18.3735405594","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-12-01","2023","12","26.9348828702","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-12-02","2023","12","27.9297718462","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-12-01","2023","12","17.812634746","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-12-02","2023","12","17.8135554611","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-12-01","2023","12","21.6585820367","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-12-02","2023","12","21.5414819374","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-12-01","2023","12","17.5533238818","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-12-02","2023","12","17.4710296679","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-12-01","2023","12","20.3056894994","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-12-02","2023","12","20.2600935864","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-12-01","2023","12","25.9635594308","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-12-02","2023","12","26.1814232002","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-12-01","2023","12","31.5106382466","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-12-02","2023","12","33.7879687607","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-12-01","2023","12","9.5334974194","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-12-02","2023","12","9.5589537644","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-12-01","2023","12","16.5614052561","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-12-02","2023","12","16.5378038123","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-12-01","2023","12","16.9701024732","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-12-02","2023","12","16.9352896574","NRSC VIC MODEL"
"Andhra Pradesh","West Godavari","2023-12-01","2023","12","19.1968009506","NRSC VIC MODEL"
"Andhra Pradesh","West Godavari","2023-12-02","2023","12","19.1575040676","NRSC VIC MODEL"
"Andhra Pradesh","Y.S.R.","2023-12-01","2023","12","21.9644432468","NRSC VIC MODEL"
"Andhra Pradesh","Y.S.R.","2023-12-02","2023","12","22.6963021786","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-12-01","2023","12","5.8121660623","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-12-02","2023","12","5.8151651494","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-12-01","2023","12","11.6541350264","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-12-02","2023","12","11.5741558514","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-12-01","2023","12","19.3622841723","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-12-02","2023","12","19.8790166055","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-12-01","2023","12","18.5455379375","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-12-02","2023","12","18.4892680913","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-12-01","2023","12","16.0882840669","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-12-02","2023","12","15.9114900469","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-12-01","2023","12","15.5762232169","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-12-02","2023","12","15.4540938649","NRSC VIC MODEL"
"Arunachal Pradesh","Kra Daadi","2023-12-01","2023","12","20.8825602955","NRSC VIC MODEL"
"Arunachal Pradesh","Kra Daadi","2023-12-02","2023","12","20.7904029062","NRSC VIC MODEL"
"Arunachal Pradesh","Kurung Kumey","2023-12-01","2023","12","20.4617718861","NRSC VIC MODEL"
"Arunachal Pradesh","Kurung Kumey","2023-12-02","2023","12","20.5028987654","NRSC VIC MODEL"
"Arunachal Pradesh","Leparada","2023-12-01","2023","12","16.7236847224","NRSC VIC MODEL"
